Component            , File Path                                             , Line Number, Severity, Issue Type                 , Issue Description                                                                                                                                        , Code Snippet                                                                                                                   , Suggested Fix                                                                                                                               , Source
Cryptography         , Cryptography/CryptographyExtAccess.cpp                ,          54, High    , Null Dereference           , "Potential null pointer dereference: _service->Root<>() can return nullptr, but _implementation is used immediately at line 59 without null check"       , "_implementation = _service->Root<Exchange::IConfiguration>(_connectionId, Core::infinite, _T(""CryptographyImplementation""));
                                                                                                                                                                                                                                                                                              if (_implementation == nullptr) {
                                                                                                                                                                                                                                                                                              message = _T(""CryptographyExtAccess could not be instantiated."");
                                                                                                                                                                                                                                                                                              } else {
                                                                                                                                                                                                                                                                                              printf(""CryptographyExtAccess - Connection Id - %u\n"",_connectionId);
                                                                                                                                                                                                                                                                                              _implementation->Configure(_service);"                                                                                         , "The null check exists but configuration call is inside else block - this is correct. However, ensure error message is propagated properly.", Manual Analysis
Cryptography         , Cryptography/CryptographyExtAccess.cpp                ,          73, Medium  , Resource Leak              , RemoteConnection pointer obtained at line 73 may leak if Terminate() throws exception before Release() is called                                         , "RPC::IRemoteConnection* connection(_service->RemoteConnection(_connectionId));
                                                                                                                                                                                                                                                                                              printf(""CryptographyExtAccess - Remote Connection  - %p\n"",connection);
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              VARIABLE_IS_NOT_USED uint32_t result = _implementation->Release();
                                                                                                                                                                                                                                                                                              _implementation = nullptr;
                                                                                                                                                                                                                                                                                              ASSERT(result == Core::ERROR_DESTRUCTION_SUCCEEDED);
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              if (connection != nullptr) {
                                                                                                                                                                                                                                                                                              TRACE(Trace::Error, (_T(""CryptographyExtAccess is not properly destructed. %d""), _connectionId));
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              connection->Terminate();
                                                                                                                                                                                                                                                                                              connection->Release();"                                                                                                        , Use RAII wrapper or ensure exception safety with try-catch block around Terminate() or use smart pointer                                    , Manual Analysis
Cryptography         , Cryptography/CryptographyExtAccess.cpp                ,          75, Low     , Unused Variable            , Variable 'result' is marked as VARIABLE_IS_NOT_USED but still assigned - compiler optimization may skip the Release() call entirely                      , VARIABLE_IS_NOT_USED uint32_t result = _implementation->Release();                                                             , Use [[maybe_unused]] attribute or cast to void: (void)_implementation->Release(); or properly check the result                              , Manual Analysis
Cryptography         , Cryptography/CryptographyExtAccess.cpp                ,          77, Medium  , Logic Error                , "ASSERT will only trigger in debug builds. In release builds, incorrect destruction will go undetected"                                                  , ASSERT(result == Core::ERROR_DESTRUCTION_SUCCEEDED);                                                                           , "Use proper error handling: if (result != Core::ERROR_DESTRUCTION_SUCCEEDED) { TRACE(Trace::Error, ...); }"                                 , Manual Analysis
Cryptography         , Cryptography/CryptographyExtAccess.cpp                ,          68, High    , Race Condition             , "Deinitialize() accesses _implementation and _service without synchronization. If called from multiple threads, can cause use-after-free"                , "void CryptographyExtAccess::Deinitialize(PluginHost::IShell* service)  /* override */
                                                                                                                                                                                                                                                                                              {
                                                                                                                                                                                                                                                                                              if (_service != nullptr) {
                                                                                                                                                                                                                                                                                              ASSERT(_service == service);
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              _service->Unregister(&_notification);
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              if (_implementation != nullptr) {"                                                                                             , Add mutex protection around member access in Deinitialize() and Deactivated()                                                               , Manual Analysis
Cryptography         , Cryptography/CryptographyExtAccess.cpp                ,          97, High    , Race Condition             , "Deactivated() accesses _connectionId and _service without synchronization, can race with Deinitialize()"                                                , "void CryptographyExtAccess::Deactivated(RPC::IRemoteConnection* connection)
                                                                                                                                                                                                                                                                                              {
                                                                                                                                                                                                                                                                                              if (connection->Id() == _connectionId) {
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              ASSERT(_service != nullptr);"                                                                                                  , Add mutex protection to prevent race condition between Deactivated() and Deinitialize()                                                     , Manual Analysis
Cryptography         , Cryptography/CryptographyRPC.cpp                      ,         125, High    , Resource Leak              , "ExternalAccess _rpcLink allocated with 'new' in Configure() but if IsListening() returns true and later failure occurs, may leak"                       , "_rpcLink = new ExternalAccess(Core::NodeId(config.Connector.Value().c_str()), this, _T(""""), server);
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              if (_rpcLink != nullptr) {
                                                                                                                                                                                                                                                                                              if (_rpcLink->IsListening() == false) {
                                                                                                                                                                                                                                                                                              delete _rpcLink;
                                                                                                                                                                                                                                                                                              _rpcLink = nullptr;"                                                                                                           , Use std::unique_ptr<ExternalAccess> instead of raw pointer to ensure automatic cleanup                                                      , Manual Analysis
Cryptography         , Cryptography/CryptographyRPC.cpp                      ,         119, High    , Resource Leak              , "_cryptography obtained from Instance() at line 119, but if ExternalAccess construction fails or throws, _cryptography leaks"                            , "_cryptography = Exchange::ICryptography::Instance("""");
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              Core::ProxyType<RPC::InvokeServer> server = Core::ProxyType<RPC::InvokeServer>::Create(&Core::IWorkerPool::Instance());
                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                              _rpcLink = new ExternalAccess(Core::NodeId(config.Connector.Value().c_str()), this, _T(""""), server);"                        , "Wrap in try-catch or ensure cleanup on exception, use RAII pattern"                                                                        , Manual Analysis
Cryptography         , Cryptography/CryptographyRPC.cpp                      ,         138, Medium  , Error Handling             , chmod() failure only logged but not handled. File permissions may be incorrect leading to access issues                                                  , "if (chmod(CONNECTOR_PATH, deStat.st_mode | S_IRGRP | S_IWGRP) != 0)
                                                                                                                                                                                                                                                                                              TRACE(Trace::Information, (_T(""chmod() failed: %s""), strerror(errno)));"                                                     , Return error code or set proper error state when chmod/chown/stat operations fail                                                           , Manual Analysis
Cryptography         , Cryptography/CryptographyRPC.cpp                      ,         141, Medium  , Null Dereference           , getgrnam() can return nullptr if group doesn't exist. grpData dereferenced without null check                                                            , "struct group *grpData = getgrnam(APPS_GROUP_NAME);
                                                                                                                                                                                                                                                                                              if (grpData != nullptr) {
                                                                                                                                                                                                                                                                                              gid_t group = grpData->gr_gid;"                                                                                                , "Null check is present, code is correct. However, error handling could be improved to return failure status"                                , Manual Analysis
Cryptography         , Cryptography/CryptographyRPC.cpp                      ,         136, Low     , TOCTOU Race                , "Time-of-check-time-of-use race: stat() checks file at line 136, but file could be modified/deleted before chmod() at line 138"                          , "struct stat deStat;
                                                                                                                                                                                                                                                                                              if (0 == stat(CONNECTOR_PATH, &deStat)) {
                                                                                                                                                                                                                                                                                              if (chmod(CONNECTOR_PATH, deStat.st_mode | S_IRGRP | S_IWGRP) != 0)"                                                           , Use file descriptor-based operations (fchmod/fchown) after opening the file to avoid TOCTOU                                                 , Manual Analysis
